state_code,stateansi,county,countyansi,statecounty,bison_census2002,bison_census2007,bison_census2012,bison_census2017,bison_operations2002,bison_operations2007,bison_operations2012,bison_operations2017,geoid,headsold2012,headsold2017
ALABAMA,1,AUTAUGA,1,100001,0,0,1,0,,,1,,1001,,
ALABAMA,1,BALDWIN,3,100003,28,26,0,0,5,3,,,1003,,
ALABAMA,1,BARBOUR,5,100005,0,0,1,0,,,1,,1005,,
ALABAMA,1,BLOUNT,9,100009,1,1,0,1,2,2,,1,1009,,
ALABAMA,1,CALHOUN,15,100015,39,48,1,1,3,3,2,1,1015,,
ALABAMA,1,CHEROKEE,19,100019,0,1,0,1,,1,,2,1019,,
ALABAMA,1,CHILTON,21,100021,1,1,1,1,2,1,1,2,1021,,
ALABAMA,1,CLAY,27,100027,0,0,0,1,,,,1,1027,,
ALABAMA,1,COFFEE,31,100031,0,1,1,1,,2,2,2,1031,,
ALABAMA,1,COVINGTON,39,100039,177,0,0,0,3,,,,1039,,
ALABAMA,1,CULLMAN,43,100043,0,34,1,0,,7,1,,1043,,
ALABAMA,1,DALE,45,100045,1,0,0,0,2,,,,1045,,
ALABAMA,1,DE KALB,49,100049,35,1,1,0,4,2,2,,1049,,
ALABAMA,1,ELMORE,51,100051,0,0,0,1,,,,2,1051,,
ALABAMA,1,ESCAMBIA,53,100053,0,6,0,0,,3,,,1053,,
ALABAMA,1,ETOWAH,55,100055,0,1,0,1,,2,,1,1055,,
ALABAMA,1,FAYETTE,57,100057,1,18,0,0,1,3,,,1057,,
ALABAMA,1,GENEVA,61,100061,1,1,18,0,1,1,3,,1061,,
ALABAMA,1,JACKSON,71,100071,1,1,20,0,2,1,4,,1071,,
ALABAMA,1,LAUDERDALE,77,100077,1,0,1,1,2,,2,1,1077,,
ALABAMA,1,LAWRENCE,79,100079,1,1,14,21,1,1,4,4,1079,,7
ALABAMA,1,LIMESTONE,83,100083,0,1,0,0,,2,,,1083,,
ALABAMA,1,MADISON,89,100089,1,22,1,0,2,4,2,,1089,,
ALABAMA,1,MARENGO,91,100091,1,0,0,0,2,,,,1091,,
ALABAMA,1,MARSHALL,95,100095,1,1,1,0,1,1,2,,1095,,
ALABAMA,1,MOBILE,97,100097,0,1,0,0,,2,,,1097,,
ALABAMA,1,MONTGOMERY,101,100101,1,0,0,0,1,,,,1101,,
ALABAMA,1,PIKE,109,100109,1,90,0,0,1,3,,,1109,,
ALABAMA,1,RUSSELL,113,100113,0,6,1,1,,3,1,2,1113,,
ALABAMA,1,SAINT CLAIR,115,100115,0,1,0,0,,1,,,1115,,
ALABAMA,1,SHELBY,117,100117,0,1,1,0,,2,1,,1117,,
ALABAMA,1,TALLAPOOSA,123,100123,1,1,0,0,1,1,,,1123,,
ALABAMA,1,TUSCALOOSA,125,100125,0,1,1,1,,2,1,1,1125,,
ALABAMA,1,WALKER,127,100127,1,1,0,0,1,1,,,1127,,
ALABAMA,1,WILCOX,131,100131,0,1,1,1,,1,2,1,1131,,
ALABAMA,1,WINSTON,133,100133,0,0,0,1,,,,2,1133,,
ALASKA,2,ANCHORAGE,1,200001,79,246,1,1,5,6,5,5,2001,,
ALASKA,2,ALEUTIAN ISLANDS,2,200002,1,1,1,1,2,2,2,2,2001,,
ALASKA,2,FAIRBANKS NORTH STAR,3,200003,1,1,564,650,3,4,8,3,2001,75,105
ALASKA,2,KENAI PENINSULA,4,200004,1,0,0,0,1,,,,2001,,
ARIZONA,4,COCHISE,3,400003,89,0,0,0,5,,,,4003,,
ARIZONA,4,COCONINO,5,400005,18,9,0,0,6,3,,,4005,,
ARIZONA,4,GILA,7,400007,1,1,0,0,1,1,,,4007,,
ARIZONA,4,MARICOPA,13,400013,0,1,1,1,,4,1,1,4013,,
ARIZONA,4,MOHAVE,15,400015,0,1,0,0,,1,,,4015,,
ARIZONA,4,NAVAJO,17,400017,0,12,0,0,,3,,,4017,,
ARIZONA,4,PIMA,19,400019,0,1,1,0,,1,1,,4019,,
ARIZONA,4,PINAL,21,400021,1,1,53,0,2,1,7,,4021,,
ARIZONA,4,YAVAPAI,25,400025,1,1,1,0,1,4,1,,4025,,
ARKANSAS,5,BAXTER,5,500005,0,1,0,0,,2,,,5005,,
ARKANSAS,5,BENTON,7,500007,119,1,8,1,3,11,4,2,5007,,
ARKANSAS,5,BOONE,9,500009,1,1,1,0,2,1,1,,5009,,
ARKANSAS,5,CARROLL,15,500015,83,1,1,1,5,2,1,2,5015,,
