Date,Min_Price,Max_Price,Avg_Price,Class
11/13/2012,305,310,305.24,Aged Bulls
1/11/2013,270,335,287.23,Aged Bulls
2/12/2013,260,290,281.52,Aged Bulls
3/11/2013,270,300,274.29,Aged Bulls
4/9/2013,270,300,293.14,Aged Bulls
5/10/2013,270,300,288.78,Aged Bulls
6/11/2013,270,300,282.66,Aged Bulls
7/15/2013,285,300,296.25,Aged Bulls
8/12/2013,270,300,288.57,Aged Bulls
10/22/2013,270,298,282.17,Aged Bulls
11/15/2013,270,300,284.94,Aged Bulls
1/10/2014,270,300,278.85,Aged Bulls
2/10/2014,270,300,297.55,Aged Bulls
3/11/2014,270,300,296.54,Aged Bulls
4/10/2014,270,308,299.63,Aged Bulls
4/11/2014,270,308,299.63,Aged Bulls
5/13/2014,270,310,301.67,Aged Bulls
6/10/2014,280,329,324.26,Aged Bulls
7/11/2014,290,329,325.69,Aged Bulls
8/11/2014,290,329,328.09,Aged Bulls
10/10/2014,329,350,338,Aged Bulls
11/10/2014,298,330,323.96,Aged Bulls
1/13/2015,300,330,328.9,Aged Bulls
1/14/2015,300,330,322.93,Aged Bulls
2/12/2015,300,340,325.85,Aged Bulls
3/13/2015,313,330,325.53,Aged Bulls
4/10/2015,322,340,325.6,Aged Bulls
5/11/2015,310,340,326.8,Aged Bulls
6/11/2015,325,340,325.77,Aged Bulls
6/17/2015,325,340,325.77,Aged Bulls
7/10/2015,340,340,340,Aged Bulls
8/11/2015,340,360,350,Aged Bulls
10/13/2015,340,360,351.18,Aged Bulls
10/14/2015,340,360,351.18,Aged Bulls
10/15/2015,340,360,351.18,Aged Bulls
11/10/2015,350,365,360.9,Aged Bulls
11/24/2015,350,365,360.9,Aged Bulls
1/11/2016,350,370,364.25,Aged Bulls
1/13/2016,350,370,364.25,Aged Bulls
2/10/2016,350,370,363.4,Aged Bulls
3/10/2016,371,375,372.72,Aged Bulls
4/11/2016,350,380,360.68,Aged Bulls
5/13/2016,368,390,384.32,Aged Bulls
6/13/2016,380,390,384.97,Aged Bulls
7/11/2016,380,400,384.95,Aged Bulls
8/11/2016,383,400,396.95,Aged Bulls
10/12/2016,390,450,400.36,Aged Bulls
11/17/2016,390,450,436.29,Aged Bulls
11/28/2016,390,450,436.29,Aged Bulls
1/10/2017,390,450,413.1,Aged Bulls
2/10/2017,385,450,410.89,Aged Bulls
3/10/2017,390,450,419.09,Aged Bulls
4/10/2017,390,450,413.91,Aged Bulls
5/11/2017,389,450,411.61,Aged Bulls
6/9/2017,410,450,410.77,Aged Bulls
7/11/2017,390,450,410.26,Aged Bulls
8/14/2017,390,450,414.44,Aged Bulls
10/11/2017,400,450,410.53,Aged Bulls
11/14/2017,400,410,402.5,Aged Bulls
12/12/2017,400,450,422.5,Aged Bulls
1/12/2018,400,450,419.47,Aged Bulls
2/13/2018,400,450,434.8,Aged Bulls
3/13/2018,400,450,417.41,Aged Bulls
4/13/2018,400,425,409.63,Aged Bulls
5/16/2018,390,705,398.08,Aged Bulls
6/15/2018,400,420,409.47,Aged Bulls
